,0,1,2
98,287346,화성 다은금곡점,"경기 화성시 동탄중앙로 171 (반송동, 동탄시범다은마을 우남퍼스트빌)"
99,287347,화성 남양점,경기 화성시 남양읍 시청로 6 (남양리)
100,287348,화성 나루한화우림점,"경기 화성시 동탄반석로 42 (반송동, 한화우림아파트)"
101,287349,화성 기안신미주점,경기 화성시 기안동 897
102,287350,화성 기산 참누리점,"경기 화성시 동탄지성로 292 (기산동, 행복마을 울트라참누리아파트2단지)"
103,287351,화성 금강펜테리움4차점,"경기 화성시 동탄순환대로20길 45 (목동, 동탄 금강펜테리움 센트럴파크Ⅳ)"
104,287352,화성 2동탄상록점,경기 화성시 동탄순환대로29길 52 (영천동)
105,287353,화성 2동탄반도점,"경기 화성시 동탄대로시범길 168 (청계동, 시범반도유보라1차)"
106,287354,화성 2동탄kcc점,"경기 화성시 동탄청계로 303-14 (청계동, KCC스위첸아파트)"
107,287355,화성 2동탄 한화점,"경기 화성시 동탄대로시범길 20 (청계동, 동탄역 시범한화 꿈에그린 프레스티지)"
108,287356,화성 2동탄 푸르지오점,"경기 화성시 동탄순환대로21길 54 (청계동, 동탄2신도시 센트럴 푸르지오)"
109,287357,화성 2동탄 치동초점,"경기 화성시 동탄순환대로 881-10 (영천동, 동탄역 푸르지오)"
110,287358,화성 2동탄 중흥 s클래스점,"경기 화성시 동부대로 951 (오산동, 중흥S-클래스)"
111,287359,화성 2동탄 금호어울림점,경기 화성시 동탄대로4길 53 (장지동)
112,287360,화성 2동탄 A7블럭점,"경기 화성시 병점중앙로 204 (진안동, 월드메르디앙1단지아파트)"
113,287361,화성 금호 레이크 2차점,"경기 화성시 동탄대로1길 32 (장지동, 금호어울림레이크2차)"
114,287362,화곡월정초점,서울 강서구 가로공원로76길 73 (화곡동)
115,287363,홍성 내포스타힐스점,"충남 홍성군 홍북읍 홍예로 213 (신경리, 엘에이치스타힐스)"
116,287364,호성학원점,전북 전주시 덕진구 호성3길 20
117,287365,호성동신점,전북 전주시 덕진구 소리로 192 (호성동1가)
118,287366,혁신온빛초점,전북 전주시 덕진구 장동 1069-1
119,287367,혁신만성초점,전북 전주시 덕진구 오공로 100
120,287368,혁신만성양현초점,전북 전주시 덕진구 만성중앙로 17-8 (만성동)
121,287369,혁신대방시티점,전북 전주시 덕진구 중동 775-2
122,287370,해운대 센텀롯데캐슬1차 102동점,"부산 해운대구 반여로 133 (반여동, 센텀롯데캐슬아파트)"
123,287371,해운대 센텀두산위브점,부산광역시 해운대구 해운대로383번길 70 (우동)
124,287372,해운대 센텀sk뷰102동점,"부산 해운대구 삼어로 55 (반여동, 센텀에스케이뷰아파트)"
125,287373,해운대 반송삼한5차1호점,"부산 해운대구 신반송로 72 (반송동, 삼한5차아파트)"
126,287374,해법수학 연세학원,"부산 연제구 토곡로 40 (연산동, 삼미빌딩)"
127,287375,해법수학 명륜아이파크2차점,"부산 동래구 시실로 49 (명륜동, 명륜2차아이파크아파트)"
128,287376,함안 호암점,"경남 함안군 칠원읍 호암길 22 (오곡리, 더노블리지)"
129,287377,함안 가야점,경남 함안군 가야읍 말산리 484-5
130,287378,한일타운대림,경기 수원시 팔달구 팔달로 124
131,287379,하남 천현초교점,"경기 하남시 대청로 50-1 (신장동, 백송한신아파트 상가동)"
132,287380,하남 유니온시티점,경기 하남시 하남유니온로 70-1
133,287381,하남 위드점,"경기 하남시 미사강변남로 87 (망월동, 스타파크)"
134,287382,하남 신장중점,경기 하남시 대청로59번길 46 (신장동)
135,287383,하남 신우초교점,경기 하남시 신우실로 15 (감일동)
136,287384,하남 성안점,"경기 하남시 덕풍북로 111 (덕풍동, 대성빌딩)"
137,287385,하남 북위례센터점,경기 하남시 학암동 산 1
138,287386,하남 미사윤슬점,"경기 하남시 미사강변서로 127 (망월동, 미사강변도시18단지)"
139,287387,하남 미사써밋점,"경기 하남시 미사강변한강로 270 (망월동, 미사강변 호반 써밋)"
140,287388,하남 미사강변점,"경기 하남시 미사강변대로 208 (망월동, 우승프라자)"
141,287389,하남 미사18단지점,"경기 하남시 미사강변서로 127 (망월동, 미사강변도시18단지)"
142,287390,하남 미사 청아초교점,경기 하남시 미사강변중앙로 100
143,287391,하남 미사 중앙초교점,경기 하남시 미사강변한강로334번길 32 (망월동)
144,287392,하남 망월초점,경기 하남시 미사강변북로24번길 11 (망월동)
145,287393,하남 덕풍한솔점,경기 하남시 덕풍동 548-11
146,287394,하남 덕풍초교점,경기 하남시 덕풍공원로 17 (덕풍동)
147,287395,하남 덕풍주공2점,"경기 하남시 덕풍서로 45 (덕풍동, 휴먼시아꽃뫼마을2단지아파트)"
148,287396,하남 나룰초교점,경기 하남시 덕풍북로259번길 19-6 (덕풍동)
149,287397,하남 감일초교점,경기 하남시 감일백제로 105 (감이동)
150,287398,하남 감일 단샘점,경기 하남시 감이동 443-1
151,287399,하계 송 쌤the스마트학원,서울 노원구 하계동 270
152,287400,필탑학원,전북 전주시 완산구 호암로 29 (효자동2가)
153,287401,포항 흥해남산초점,경북 포항시 북구 흥해읍 중성로32번길 11
154,287402,포항 효자점,경북 포항시 남구 효성로15번길 31 (효자동)
155,287403,포항 효자상도점,경북 포항시 남구 상도동 694
156,287404,포항 효곡점,경북 포항시 남구 효자동길1번길 20 (효자동)
157,287405,포항 환호해맞이그린빌점,"경북 포항시 북구 삼호로 413 (환호동, 환호해맞이그린빌)"
158,287406,포항 해맞이초점,경북 포항시 북구 삼호로 413
159,287407,포항 한양수자인점,"경북 포항시 북구 장량중앙로 33 (양덕동, 한양 수자인)"
160,287408,포항 학천점,"경북 포항시 북구 흥해읍 도음로 877 (학천리, 학천1리마을회관)"
161,287409,포항 푸르지오점,"경북 포항시 북구 침촌지구로 10 (장성동, 장성 푸르지오)"
162,287410,포항 초곡호반점,"경북 포항시 북구 흥해읍 초곡지구로 176 (초곡리, 포항초곡호반베르디움)"
163,287411,포항 초곡점,경북 포항시 북구 흥해읍 초곡지구로58번길 38-6
164,287412,포항 초곡삼구점,"경북 포항시 북구 흥해읍 초곡지구로58번길 52 (초곡리, 초곡삼구트리니엔 시티)"
165,287413,포항 지곡점,경북 포항시 남구 연일읍 연지로 90-3
166,287414,포항 장성점,경북 포항시 북구 새천년대로1249번길 10-6 (장성동)
167,287415,포항 이동점,"경북 포항시 남구 포스코대로 161 (대잠동, 우방파크빌아파트)"
168,287416,포항 이동SAS점,경북 포항시 남구 대이로 137-1 (이동)
169,287417,포항 유강점,"경북 포항시 남구 연일읍 유강길9번길 57 (유강리, 대림한숲타운2단지아파트)"
170,287418,포항 우현점,경북 포항시 북구 우창동로 66 (우현동)
171,287419,포항 우방신천지1호점,"경북 포항시 북구 새천년대로1020번길 8 (두호동, 우방신천지아파트)"
172,287420,포항 오천힐스테이트점,경북 포항시 남구 오천읍 북원로9번길 13 (원리)
173,287421,포항 오천부영2차점,"경북 포항시 남구 오천읍 남원로 85 (원리, 2차부영아파트)"
174,287422,포항 연일점,경북 포항시 북구 삼호로217번길 19
175,287423,포항 양서초점,경북 포항시 북구 장량로139번길 34 (양덕동)
176,287424,포항 양덕풍림아이원1호점,"경북 포항시 북구 양덕로 68 (양덕동, 풍림아이원아파트)"
177,287425,포항 양덕삼성쉐르빌점,"경북 포항시 북구 양덕로50번길 33 (양덕동, 양덕삼성쉐르빌)"
178,287426,포항 양덕e편한2차점,"경북 포항시 북구 천마로90번길 9 (양덕동, 2차이편한세상아파트)"
179,287427,포항 신흥초점,경북 포항시 남구 상도로 46-1 (상도동)
180,287428,포항 메트로시티점,경북 포항시 북구 우창로 166-1 (창포동)
181,287429,포항 두산위브점,"경북 포항시 북구 새천년대로 1235 (장성동, 두산 위브 더 제니스)"
182,287430,포항 동해위드점,경북 포항시 남구 동해면 연오로7번길 1 (도구리)
183,287431,포항 대림힐이룸점,경북 포항시 북구 양학로34번길 1 (학잠동)
184,287432,포항 남부초등점,경북 포항시 북구 중흥로255번길 37-9 (죽도동)
185,287433,포항 구정초점,경북 포항시 남구 오천읍 구정길 29 (구정리)
186,287434,포승 직영점,경기 평택시 포승읍 2함대길 20 (원정리)
187,287435,평화지곡초점,전북 전주시 완산구 평화동2가 909-1
188,287436,평화일성점,전북 전주시 완산구 평화19길 15 (평화동1가)
189,287437,평화미소드림점,전북 전주시 완산구 평화동2가 457-4
190,287438,평택 현촌리더스점,"경기 평택시 현촌4길 2-32 (용이동, 다올빌딩)"
191,287439,평택 칠원동광점,경기 평택시 동삭동 340-6
192,287440,평택 지웰푸르지오점,경기 평택시 용죽1로 33 (용이동)
193,287441,평택 이화초점,경기 평택시 비전9길 23 (비전동)
194,287442,평택 용죽초점,경기 평택시 용죽2로 54 (용이동)
195,287443,평택 용이동금호어울림점,"경기 평택시 현촌3길 21 (용이동, 평택용이금호어울림 1단지)"
196,287444,평택 용이동e편한세상점,"경기 평택시 신흥1로 67 (용이동, e편한세상평택용이1단지)"
197,287445,평택 안중EiE점,경기 평택시 안중읍 현화리 47
198,287446,평택 소사벌초점,경기 평택시 동부공원로14번길 32-9 (비전동)
199,287447,평택 센트럴자이5단지점,경기 평택시 동삭동 849-2
200,287448,평택 세교부영1차점,"경기 평택시 세교공원로 66 (세교동, 부영아파트)"
201,287449,평택 비전한빛점,"경기 평택시 평남로 737 (비전동, 한빛아파트)"
202,287450,평택 비전푸르지오1차점,"경기 평택시 용죽1로 14 (용이동, 평택 비전 푸르지오)"
203,287451,평택 비전아이파크점,경기 평택시 용이동 639
204,287452,평택 덕동초점 스마트 해법수학교습소,경기 평택시 평택5로 134
205,287453,평택 더샵모산초점,"경기 평택시 지제동삭1로 163 (동삭동, 더샵지제역센트럴파크1BL아파트)"
206,287454,평택 고덕파라곤점,"경기 평택시 고덕국제8로 91 (고덕동, 고덕 국제신도시 파라곤 에듀포레)"
207,287455,평택 고덕자이점,경기 평택시 고덕면 고덕국제3길 136 (여염리)
208,287456,평택 가재우림점,"경기 평택시 막곡길 11 (가재동, 우림필유아파트)"
209,287457,평택 가내초점,경기 평택시 죽백7길 50 (죽백동)
210,287458,평촌 어바인퍼스트점,경기 안양시 동안구 경수대로 581 (호계동)
211,287459,펠릭스해법학원,"서울 구로구 새말로 31 (구로동, 롯데구로아파트)"
212,287460,파주 해솔롯데7단지점,"경기 파주시 가온로 205 (와동동, 해솔마을 7단지 롯데캐슬)"
213,287461,파주 해솔2단지점,"경기 파주시 와석순환로 347 (목동동, 해솔마을2단지월드메르디앙)"
214,287462,파주 해법정문보습학원점,경기 파주시 금촌동 931-13
215,287463,파주 해법와석학원점,"경기 파주시 한빛로 9 (야당동, 한빛마을3단지자유로아이파크아파트)"
216,287464,파주 해법스터디학원점,경기 파주시 가온로 104 (목동동)
217,287465,파주 해법top학원,"경기 파주시 송화로 13 (아동동, 팜스프링아파트)"
218,287466,파주 해냄스마트해법수학점,"경기 파주시 금바위로 100-1 (와동동, 가람마을3단지동문아파트)"
219,287467,파주 한울벽산블루밍점,"경기 파주시 동패로 117 (동패동, 한울마을2단지 운정벽산블루밍아파트)"
220,287468,파주 한빛마을7단지점,"경기 파주시 와석순환로 61 (야당동, 한빛마을7단지)"
221,287469,파주 하이엔드 영수학원점,경기 파주시 해올2길 20
222,287470,파주 플라토영어스마트해법수학점,경기 파주시 탄현면 참매미길 74 (법흥리)
223,287471,파주 풍림아이원점,"경기 파주시 후곡로 77 (금촌동, 금촌 풍림아이원아파트)"
224,287472,파주 책향기10단지점,"경기 파주시 책향기로 441 (동패동, 책향기마을10단지동문굿모닝힐)"
225,287473,파주 좋아서하는수학독서학원점,경기 파주시 초롱꽃로 133-3 (동패동)
226,287474,파주 재성점,"경기 파주시 동패로 100 (동패동, 한울마을 3단지)"
227,287475,파주 이룸점,경기 파주시 가람로 109
228,287476,파주 운정힐스테이트수학애점,경기 파주시 교하로 100 (목동동)
229,287477,파주 운정중흥S클래스점,경기 파주시 심학산로 234 (동패동)
230,287478,파주 운정연리지점,"경기 파주시 해솔로 20 (목동동, 해솔마을4단지 벽산우남연리지)"
231,287479,파주 운정아이파크점,"경기 파주시 심학산로 384 (동패동, 운정신도시 IPARK)"
232,287480,파주 운정산내7단지점,경기 파주시 청암로 50 (목동동)
233,287481,파주 엘크루스마트해법학원,경기 파주시 가람로116번길 45 (와동동)
234,287482,파주 에이플러스학원점,"경기 파주시 미래로 369-72 (동패동, 우성메디피아)"
235,287483,파주 선유e해법솔루션학원점,경기 파주시 문산읍 사임당로 65-21 (선유리)
236,287484,파주 서원마을7단지점,"경기 파주시 쇠재로 30 (금촌동, 서원마을뜨란채)"
237,287485,파주 새말점,경기 파주시 문산읍 문향로17번길 45 (문산리)
238,287486,파주 산내푸르지오점,"경기 파주시 심학산로 385 (목동동, 운정신도시 센트럴 푸르지오)"
239,287487,파주 산내센트럴푸르지오점,경기 파주시 심학산로 385
240,287488,파주 바른e해법수학학원점,경기 파주시 숲속노을로 275 (문발동)
241,287489,파주 문산힐스테이트1차점,"경기 파주시 문산읍 방촌로 1744 (당동리, 파주힐스테이트1차)"
242,287490,파주 문산한양수자인점,"경기 파주시 문산읍 당동1로 52 (당동리, 파주한양수자인 리버팰리스 아파트)"
243,287491,파주 문산자연앤5단지점,"경기 파주시 문산읍 당동1로 12 (당동리, 자연앤꿈에그린)"
244,287492,파주 더위너스학원점,"경기 파주시 정담길 61 (아동동, 동문프라자)"
245,287493,파주 금촌유앤아이점,"경기도 파주시 금신초교길 72 201동 604호 (금촌동, 한일유앤아이아파트)"
246,287494,파주 금촌513점,경기 파주시 금촌2동 쇠재마을아파트 501-516
247,287495,파주 금릉502점,"경기 파주시 쇠재로 133 (금촌동, 쇠재마을뜨란채)"
248,287496,파주 금릉4단지점,"경기 파주시 후곡로 50 (금촌동, 후곡마을뜨란채)"
249,287497,파주 강한수학점,"경기 파주시 새꽃로 10 (금촌동, 후곡마을주공아파트)"
250,287498,파주 가람해법학원,"경기 파주시 가람로 6 (와동동, 월드타워)"
251,287499,파주 가람비발디점,"경기 파주시 가람로116번길 130 (와동동, 가람마을7단지 한라비"
252,287500,파주 e해법드림학원,경기 파주시 금촌동 237-1
253,287501,통영 죽림중앙점,"경남 통영시 광도면 죽림1로 17-51 (죽림리, 동성프라자)"
254,287502,통영 죽림점,경남 통영시 광도면 죽림리 1578-2
255,287503,통영 용남엘리트점,경남 통영시 용남면 대곡길 12
256,287504,통영 미수점,"경남 통영시 진남아랫길 3 (미수동, 에덴의동쪽)"
257,287505,통영 무전점,"경남 통영시 무전1길 50 (무전동, 영성빌딩)"
258,287506,칠곡 장곡부영점,경북 칠곡군 석적읍 북중리3길 68 (중리)
259,287507,칠곡 석적점,경북 칠곡군 석적읍 남율로9길 62 (남율리)
260,287508,칠곡 북삼인평점,경북 칠곡군 북삼읍 인평리
261,287509,칠곡 북삼대동점,경북 칠곡군 북삼읍 인강5길 61 (인평리)
262,287510,충주 호암힐데스하임점,"충북 충주시 호암토성2로 1 (호암동, 호암 힐데스하임)"
263,287511,충주 연수아이파크점,충북 충주시 연수동 605
264,287512,충주 남산동일하이빌점,"충북 충주시 염밭로 22 (용산동, 남산동일하이빌)"
265,287513,충주 교현점,충북 충주시 교현동 592-16
266,287514,충주 교현성남점,충북 충주시 교현동 269-3
267,287515,충북 킹덤수학학원점,충북 청주시 흥덕구 덕암로108번길 61
268,287516,충북 청출어람학원점,충북 진천군 이월면 송림8길 7-4 (송림리)
269,287517,충북 중흥s클래스점,"충북 청주시 상당구 단재로 312 (방서동, 방서중흥에스클래스)"
270,287518,충북 오창The Best점,충북 청주시 청원구 오창읍 오창중앙로 32
271,287519,충북 영동점,충북 영동군 계산로 32-12
272,287520,충북 스마트해법영어수학학원 광혜원점,충북 진천군 광혜원면 화랑1길 7
273,287521,충북 스마트해법수학 하복대점,충북 청주시 흥덕구 가경동 1240
274,287522,충북 스마트해법수학 보은1교실점,충북 보은군 보은읍 삼산로4길 18 (삼산리)
275,287523,충북 스마트해법수학 내곡초점,"충북 청주시 흥덕구 송화로108번길 111 (송절동, 청주우방아이유쉘2단지)"
276,287524,충북 동성점,"충북 음성군 맹동면 학예로 55 (동성리, 엘에이치이노밸리)"
277,287525,충남 홍성초교점,충남 홍성군 홍성읍 오관리 654-14
278,287526,충남 청양점,충남 청양군 청양읍 칠갑산로7길 15-1 (읍내리)
279,287527,충남 조치원 자이점,"세종특별자치시 조치원읍 도원로 16 (죽림리, 자이아파트)"
280,287528,충남 예산석탑점,"충남 예산군 예산읍 아리랑로 43 (주교리, 석탑유익아파트)"
281,287529,충남 부여 규암초점,충남 부여군 규암면 계백로 8
282,287530,충남 당진신평리가점,"충남 당진시 신평면 신평로 792 (금천리, 당진신평 LIG 리가아파트)"
283,287531,충남 당진송악대림점,"충남 당진시 송악읍 반촌로 103 (가학리, 송악e편한세상)"
284,287532,충남 당진거산점,"충남 당진시 신평면 거산3거리길 37 (거산리, 명인치과)"
285,287533,충남 논산 자이점,"충남 논산시 시민로132번길 7 (내동, 힐스테이트자이논산)"
286,287534,충남 금산1호점,"충남 금산군 금산읍 비호산로 4 (상리, 잉글리쉬아이)"
287,287535,충남 계룡점,충남 계룡시 신도안면 신도안1길 61 (남선리)
288,287536,충남 계룡신성1차점,"충남 계룡시 장안1길 9 (금암동, 신성미소지움1차아파트)"
289,287537,충남 계룡 한라비발디점,충남 계룡시 두마면 농소리 972
290,287538,충남 계룡 신성점,"충남 계룡시 장안1길 9 (금암동, 신성미소지움1차아파트)"
291,287539,춘천 장학 해온채점,"강원 춘천시 동면 소양강로 102 (장학리, 장학엘에이치해온채)"
292,287540,춘천 우두롯데인벤스점,"강원 춘천시 충열로 27 (우두동, 롯데인벤스아파트상가)"
293,287541,춘천 석사에버빌1차점,"강원 춘천시 지석로 115 (석사동, 현진에버빌1차 상가)"
294,287542,춘천 만천점,강원 춘천시 동면 만천양지길 33 (만천리)
295,287543,춘천 동부초점,"강원 춘천시 후석로186번길 9 (석사동, 진흥아파트)"
296,287544,춘천 남부초교점,강원 춘천시 춘주로147번길 12-14 (퇴계동)
297,287545,최여정 해법수학,"전남 강진군 강진읍 서문길 15-9 (서성리, 강진서성 남양휴튼 아파트 2단지)"
